Points,X,Y,Z
365,397885.695,3478660.283,-3.136
366,396771.178,3476431.249,-2.241
367,394778.556,3476093.516,-5.47
368,393900.452,3476870.301,-4.243
369,391941.603,3477376.9,-4.458
370,390388.034,3477376.9,-4.604
371,385186.953,3479065.562,-5.822
372,401195.474,3478795.376,-3.511
381,408794.455,3494432.391,-3.204
386,408558.043,3483962.684,-0.531
388,403424.508,3491055.066,-0.39
389,400925.288,3494364.845,-0.6
390,399169.079,3496695.199,-0.497
391,395690.434,3479166.882,-3.748
392,391131.045,3478052.365,-4.03
393,386706.749,3479065.562,-5.628
394,384511.488,3480686.678,-4.595
400,408186.537,3498755.368,-2.54
