,0,1
0,765400.0,2626530.0
1,765330.0,2626530.0
2,765330.0,2626540.0
3,765310.0,2626540.0
4,765310.0,2626560.0
5,765300.0,2626560.0
6,765300.0,2626640.0
7,765310.0,2626640.0
8,765310.0,2626650.0
9,765300.0,2626650.0
10,765300.0,2626730.0
11,765290.0,2626730.0
12,765290.0,2626790.0
13,765280.0,2626790.0
14,765280.0,2626830.0
15,765270.0,2626830.0
16,765270.0,2626850.0
17,765260.0,2626850.0
18,765260.0,2626880.0
19,765250.0,2626880.0
20,765250.0,2626900.0
21,765240.0,2626900.0
22,765240.0,2626920.0
23,765230.0,2626920.0
24,765230.0,2626950.0
25,765220.0,2626950.0
26,765220.0,2626980.0
27,765210.0,2626980.0
28,765210.0,2627010.0
29,765200.0,2627010.0
30,765200.0,2627040.0
31,765190.0,2627040.0
32,765190.0,2627070.0
33,765180.0,2627070.0
34,765180.0,2627110.0
35,765170.0,2627110.0
36,765170.0,2627140.0
37,765160.0,2627140.0
38,765160.0,2627190.0
39,765150.0,2627190.0
40,765150.0,2627230.0
41,765140.0,2627230.0
42,765140.0,2627260.0
43,765130.0,2627260.0
44,765130.0,2627280.0
45,765120.0,2627280.0
46,765120.0,2627300.0
47,765110.0,2627300.0
48,765110.0,2627320.0
49,765100.0,2627320.0
50,765100.0,2627340.0
51,765090.0,2627340.0
52,765090.0,2627350.0
53,765080.0,2627350.0
54,765080.0,2627370.0
55,765070.0,2627370.0
56,765070.0,2627380.0
57,765060.0,2627380.0
58,765060.0,2627390.0
59,765050.0,2627390.0
60,765050.0,2627410.0
61,765040.0,2627410.0
62,765040.0,2627420.0
63,765030.0,2627420.0
64,765030.0,2627440.0
65,765020.0,2627440.0
66,765020.0,2627450.0
67,765010.0,2627450.0
68,765010.0,2627460.0
69,764990.0,2627460.0
70,764990.0,2627470.0
71,764950.0,2627470.0
72,764950.0,2627480.0
73,764880.0,2627480.0
74,764880.0,2627490.0
75,764840.0,2627490.0
76,764840.0,2627480.0
77,764820.0,2627480.0
78,764820.0,2627490.0
79,764810.0,2627490.0
80,764810.0,2627470.0
81,764800.0,2627470.0
82,764800.0,2627460.0
83,764790.0,2627460.0
84,764790.0,2627450.0
85,764780.0,2627450.0
86,764780.0,2627460.0
87,764770.0,2627460.0
88,764770.0,2627480.0
89,764760.0,2627480.0
90,764760.0,2627470.0
91,764740.0,2627470.0
92,764740.0,2627460.0
93,764710.0,2627460.0
94,764710.0,2627470.0
95,764700.0,2627470.0
96,764700.0,2627480.0
97,764690.0,2627480.0
98,764690.0,2627500.0
99,764700.0,2627500.0
100,764700.0,2627520.0
101,764680.0,2627520.0
102,764680.0,2627530.0
103,764670.0,2627530.0
104,764670.0,2627560.0
105,764660.0,2627560.0
106,764660.0,2627580.0
107,764690.0,2627580.0
108,764690.0,2627590.0
109,764670.0,2627590.0
110,764670.0,2627600.0
111,764660.0,2627600.0
112,764660.0,2627620.0
113,764650.0,2627620.0
114,764650.0,2627630.0
115,764660.0,2627630.0
116,764660.0,2627650.0
117,764670.0,2627650.0
118,764670.0,2627660.0
119,764690.0,2627660.0
120,764690.0,2627670.0
121,764700.0,2627670.0
122,764700.0,2627690.0
123,764710.0,2627690.0
124,764710.0,2627720.0
125,764720.0,2627720.0
126,764720.0,2627730.0
127,764730.0,2627730.0
128,764730.0,2627750.0
129,764750.0,2627750.0
130,764750.0,2627780.0
131,764760.0,2627780.0
132,764760.0,2627790.0
133,764770.0,2627790.0
134,764770.0,2627860.0
135,764780.0,2627860.0
136,764780.0,2627880.0
137,764790.0,2627880.0
138,764790.0,2627930.0
139,764780.0,2627930.0
140,764780.0,2627950.0
141,764790.0,2627950.0
142,764790.0,2627970.0
143,764800.0,2627970.0
144,764800.0,2627980.0
145,764820.0,2627980.0
146,764820.0,2627990.0
147,764830.0,2627990.0
148,764830.0,2628010.0
149,764820.0,2628010.0
150,764820.0,2628030.0
151,764810.0,2628030.0
152,764810.0,2628050.0
153,764820.0,2628050.0
154,764820.0,2628040.0
155,764890.0,2628040.0
156,764890.0,2628050.0
157,764910.0,2628050.0
158,764910.0,2628060.0
159,764920.0,2628060.0
160,764920.0,2628070.0
161,764930.0,2628070.0
162,764930.0,2628080.0
163,764940.0,2628080.0
164,764940.0,2628090.0
165,764950.0,2628090.0
166,764950.0,2628100.0
167,764960.0,2628100.0
168,764960.0,2628110.0
169,764970.0,2628110.0
170,764970.0,2628120.0
171,764980.0,2628120.0
172,764980.0,2628130.0
173,764990.0,2628130.0
174,764990.0,2628140.0
175,765000.0,2628140.0
176,765000.0,2628150.0
177,765010.0,2628150.0
178,765010.0,2628160.0
179,765020.0,2628160.0
180,765020.0,2628170.0
181,765030.0,2628170.0
182,765030.0,2628180.0
183,765050.0,2628180.0
184,765050.0,2628190.0
185,765060.0,2628190.0
186,765060.0,2628200.0
187,765070.0,2628200.0
188,765070.0,2628210.0
189,765080.0,2628210.0
190,765080.0,2628220.0
191,765090.0,2628220.0
192,765090.0,2628230.0
193,765150.0,2628230.0
194,765150.0,2628240.0
195,765170.0,2628240.0
196,765170.0,2628250.0
197,765180.0,2628250.0
