,0,1
0,765380.0,2626520.0
1,765330.0,2626520.0
2,765330.0,2626530.0
3,765310.0,2626530.0
4,765310.0,2626540.0
5,765300.0,2626540.0
6,765300.0,2626580.0
7,765290.0,2626580.0
8,765290.0,2626590.0
9,765300.0,2626590.0
10,765300.0,2626680.0
11,765290.0,2626680.0
12,765290.0,2626750.0
13,765280.0,2626750.0
14,765280.0,2626800.0
15,765270.0,2626800.0
16,765270.0,2626830.0
17,765260.0,2626830.0
18,765260.0,2626860.0
19,765250.0,2626860.0
20,765250.0,2626880.0
21,765240.0,2626880.0
22,765240.0,2626900.0
23,765230.0,2626900.0
24,765230.0,2626930.0
25,765220.0,2626930.0
26,765220.0,2626950.0
27,765210.0,2626950.0
28,765210.0,2626980.0
29,765200.0,2626980.0
30,765200.0,2627020.0
31,765190.0,2627020.0
32,765190.0,2627050.0
33,765180.0,2627050.0
34,765180.0,2627080.0
35,765170.0,2627080.0
36,765170.0,2627110.0
37,765160.0,2627110.0
38,765160.0,2627150.0
39,765150.0,2627150.0
40,765150.0,2627210.0
41,765140.0,2627210.0
42,765140.0,2627240.0
43,765130.0,2627240.0
44,765130.0,2627260.0
45,765120.0,2627260.0
46,765120.0,2627280.0
47,765110.0,2627280.0
48,765110.0,2627310.0
49,765100.0,2627310.0
50,765100.0,2627320.0
51,765090.0,2627320.0
52,765090.0,2627340.0
53,765080.0,2627340.0
54,765080.0,2627350.0
55,765070.0,2627350.0
56,765070.0,2627370.0
57,765060.0,2627370.0
58,765060.0,2627380.0
59,765050.0,2627380.0
60,765050.0,2627400.0
61,765040.0,2627400.0
62,765040.0,2627410.0
63,765030.0,2627410.0
64,765030.0,2627420.0
65,765020.0,2627420.0
66,765020.0,2627440.0
67,765010.0,2627440.0
68,765010.0,2627450.0
69,764990.0,2627450.0
70,764990.0,2627460.0
71,764970.0,2627460.0
72,764970.0,2627470.0
73,764940.0,2627470.0
74,764940.0,2627480.0
75,764920.0,2627480.0
76,764920.0,2627490.0
77,764910.0,2627490.0
78,764910.0,2627480.0
79,764900.0,2627480.0
80,764900.0,2627490.0
81,764890.0,2627490.0
82,764890.0,2627480.0
83,764850.0,2627480.0
84,764850.0,2627500.0
85,764840.0,2627500.0
86,764840.0,2627490.0
87,764800.0,2627490.0
88,764800.0,2627480.0
89,764790.0,2627480.0
90,764790.0,2627490.0
91,764750.0,2627490.0
92,764750.0,2627500.0
93,764730.0,2627500.0
94,764730.0,2627520.0
95,764710.0,2627520.0
96,764710.0,2627540.0
97,764690.0,2627540.0
98,764690.0,2627550.0
99,764690.0,2627550.0
100,764680.0,2627550.0
101,764680.0,2627560.0
102,764670.0,2627560.0
103,764670.0,2627570.0
104,764680.0,2627570.0
105,764680.0,2627610.0
106,764690.0,2627610.0
107,764690.0,2627620.0
108,764670.0,2627620.0
109,764670.0,2627630.0
110,764680.0,2627630.0
111,764680.0,2627660.0
112,764700.0,2627660.0
113,764700.0,2627710.0
114,764710.0,2627710.0
115,764710.0,2627720.0
116,764730.0,2627720.0
117,764730.0,2627750.0
118,764740.0,2627750.0
119,764740.0,2627750.0
120,764740.0,2627780.0
121,764750.0,2627780.0
122,764750.0,2627770.0
123,764760.0,2627770.0
124,764760.0,2627800.0
125,764770.0,2627800.0
126,764770.0,2627860.0
127,764780.0,2627860.0
128,764780.0,2627870.0
129,764790.0,2627870.0
130,764790.0,2627890.0
131,764800.0,2627890.0
132,764800.0,2627930.0
133,764810.0,2627930.0
134,764810.0,2627970.0
135,764830.0,2627970.0
136,764830.0,2628000.0
137,764840.0,2628000.0
138,764840.0,2628030.0
139,764860.0,2628030.0
140,764860.0,2628040.0
141,764870.0,2628040.0
142,764870.0,2628050.0
143,764900.0,2628050.0
144,764900.0,2628060.0
145,764910.0,2628060.0
146,764910.0,2628070.0
147,764920.0,2628070.0
148,764920.0,2628080.0
149,764930.0,2628080.0
150,764930.0,2628090.0
151,764940.0,2628090.0
152,764940.0,2628100.0
153,764950.0,2628100.0
154,764950.0,2628110.0
155,764960.0,2628110.0
156,764960.0,2628120.0
157,764970.0,2628120.0
158,764970.0,2628130.0
159,764980.0,2628130.0
160,764980.0,2628140.0
161,764990.0,2628140.0
162,764990.0,2628150.0
163,765000.0,2628150.0
164,765000.0,2628160.0
165,765010.0,2628160.0
166,765010.0,2628170.0
167,765020.0,2628170.0
168,765020.0,2628180.0
169,765040.0,2628180.0
170,765040.0,2628190.0
